MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
adoucisseur;adoucisseurs;adoucisseuse;adoucisseuses
adoux;;;
adragante;adragantes;;
adragantine;adragantines;;
adressage;adressages;;
adresse;adresses;;
adressée;adressées;;
adret;adrets;;
adriatique;adriatiques;;
adrénaline;adrénalines;;
adsorbant;adsorbants;;
adsorption;adsorptions;;
adstrat;adstrats;;
adulaire;adulaires;;
adulateur;adulateurs;adulatrice;adulatrices
adulation;adulations;;
adulte;adultes;;
adultère;adultères;;
adultérateur;adultérateurs;adultératrice;adultératrices
adultération;adultérations;;
adultéresse;adultéresses;;
adultérin;adultérins;adultérine;adultérines
adultérinité;adultérinités;;
adustion;adustions;;
adventice;adventices;;
adventiste;adventistes;;
advenu;advenus;advenue;advenues
adverbe;adverbes;;
adverbialité;adverbialités;;
adversaire;adversaires;;
adversité;adversités;;
advertance;advertances;;
adynamie;adynamies;;
adyton;adytons;;
adénie;adénies;;
adénite;adénites;;
adéphage;adéphages;;
adéphagie;adéphagies;;
adéquation;adéquations;;
aechmalotarque;aechmalotarques;;
aechmalote;aechmalotes;;
aegagre;aegagres;;
aegilopinée;aegilopinées;;
aegilops;;;
aegipan;aegipans;;
aeolian;aeolians;;
aeoline;aeolines;;
aeolipyle;aeolipyles;;
aeolis;;;
aeolodicon;aeolodicons;;
aepyornis;;;
aeschne;aeschnes;;
aesthésiomètre;aesthésiomètres;;
aetherophon;aetherophons;;
aethéogame;aethéogames;;
aethéogamie;aethéogamies;;
aetite;aetites;;
aevia;aevias;;
aff;affs;;
affabilité;affabilités;;
affabulation;affabulations;;
affadissement;affadissements;;
affaibli;affaiblis;affaiblie;affaiblies
affaiblissement;affaiblissements;;
affaiblisseur;affaiblisseurs;;
affairage;affairages;;
affaire;affaires;;
affairement;affairements;;
affairiste;affairistes;;
affairé;affairés;affairée;affairées
affaissement;affaissements;;
affait;affaits;;
affaitage;affaitages;;
affaitement;affaitements;;
affaiteur;affaiteurs;affaiteuse;affaiteuses
affalement;affalements;;
affamation;affamations;;
affamement;affamements;;
affameur;affameurs;affameuse;affameuses
affamé;affamés;affamée;affamées
affaméité;affaméités;;
affamélite;affamélites;;
affaneur;affaneurs;;
affanure;affanures;;
affaît;affaîts;;
affe;affes;;
affect;affects;;
affectant;affectants;affectante;affectantes
affectataire;affectataires;;
affectation;affectations;;
affectibilité;affectibilités;;
affection;affections;;
affectionnivité;affectionnivités;;
affectivité;affectivités;;
affectuosité;affectuosités;;
affenage;affenages;;
affenoir;affenoirs;;
affermage;affermages;;
afferme;affermes;;
affermeur;affermeurs;;
affermissement;affermissements;;
affeurage;affeurages;;
affichage;affichages;;
affiche;affiches;;
affichette;affichettes;;
afficheur;afficheurs;afficheuse;afficheuse
affichiste;affichistes;;
afficionado;afficionados;;
affidation;affidations;;
affidavit;affidavits;;
affident;affidents;affidente;affidentes
affidé;affidés;affidée;affidées
affilage;affilages;;
affile;affiles;;
affileur;affileurs;affileuse;affileuses
affiliation;affiliations;;
affilié;affiliés;affiliée;affiliées
affiloir;affiloirs;;
affiloire;affiloires;;
affin;affins;affine;affines
affinage;affinages;;
affinal;affinaux;affinale;affinales
affinement;affinements;;
affinerie;affineries;;
affineur;affineurs;affineuse;affineuses
affinitaire;affinitaires;;
affinité;affinités;;
affinoir;affinoirs;;
affinostat;affinostats;;
affiné;affinés;affinée;affinées
affiquage;affiquages;;
affiquet;affiquets;;
affirmant;affirmants;affirmante;affirmantes
affirmateur;affirmateurs;affirmatrice;affirmatrices
affirmatif;affirmatifs;affirmative;affirmatives
affirmation;affirmations;;
affirmé;affirmés;affirmée;affirmées
affixe;affixes;;
afflation;afflations;;
affleurage;affleurages;;
affleurement;affleurements;;
affleurie;affleuries;;
affleuré;affleurés;affleurée;affleurées
affliction;afflictions;;
affligé;affligés;affligée;affligées
afflouage;afflouages;;
affluence;affluences;;
affluent;affluents;;
afflux;;;
affolade;affolades;;
affolage;affolages;;
affolement;affolements;;
affolé;affolés;affolée;affolées
afforestage;afforestages;;
afforestation;afforestations;;
affouage;affouages;;
affouagement;affouagements;;
affouager;affouagers;affouagère;affouagères
affouagiste;affouagistes;;
affouagé;affouagés;affouagée;affouagées
affouement;affouements;;
affouillement;affouillements;;
affouillerie;affouilleries;;
affouragement;affouragements;;
affourche;affourches;;
affourée;affourées;;
affranchi;affranchis;affranchie;affranchies
affranchissement;affranchissements;;
affranchisseur;affranchisseurs;affranchisseuse;affranchisseuses
affre;;;
affres;;;
affreux;;affreuse;affreuses
affriolage;affriolages;;
affriolement;affriolements;;
affriquée;affriquées;;
affront;affronts;;
affrontailles;;;
affrontation;affrontations;;
affrontement;affrontements;;
affronterie;affronteries;;
affronteur;affronteurs;affronteuse;affronteuses
affrètement;affrètements;;
affréteur;affréteurs;affréteuse;affréteuse
affublement;affublements;;
affur;affurs;;
affusion;affusions;;
afféagement;afféagements;;
afférence;afférences;;
afféreur;afféreurs;;
afféterie;afféteries;;
affût;affûts;;
affûtage;affûtages;;
affûteur;affûteurs;;
affûtiau;affûtiaux;;
affûtoir;affûtoirs;;
afghan;afghans;afghane;afghanes
africain;africains;africaine;africaines
africanisme;africanismes;;
africaniste;africanistes;;
africanthrope;africanthropes;;
afrikander;afrikanders;;
afrite;afrites;;
aféisme;aféismes;;
aga;agas;;
agace;agaces;;
agacement;agacements;;
agacerie;agaceries;;
agaceur;agaceurs;;
agachon;agachons;;
agacin;agacins;;
agada;agadas;;
agadiste;agadistes;;
agalactie;agalacties;;
agalmatolithe;agalmatolithes;;
agame;agames;;
agami;agamis;;
agamide;agamides;;
agamidés;;;
agamie;agamies;;
agamien;agamiens;;
agamoïde;agamoïdes;;
aganippide;aganippides;;
agape;agapes;;
agapètes;;;
agar;agars;;
agare;agares;;
agaric;agarics;;
agaricacée;agaricacées;;
agaricales;;;
agarice;agarices;;
agaricie;agaricies;;
agaricine;agaricines;;
agariciné;agaricinés;agaricinée;agaricinées
agaricoïde;agaricoïdes;;
agaricé;agaricés;agaricée;agaricées
agasillis;;;
agate;agates;;
agathe;agathes;;
agathie;agathies;;
agathine;agathines;;
agathodémon;agathodémons;;
agathée;agathées;;
agati;agatis;;
agatisation;agatisations;;
agave;agaves;;
agavé;agavés;agavée;agavées
agaçant;agaçants;;
age;ages;;
agenais;;agenaise;agenaises
agence;agences;;
agencement;agencements;;
agenceur;agenceurs;agenceuse;agenceuses
agencier;agenciers;agencière;agencière
agenda;agendas;;
agende;agendes;;
agenouillage;agenouillages;;
agenouillement;agenouillements;;
agenouilloir;agenouilloirs;;
agenouillé;agenouillés;agenouillée;agenouillées
