MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
agriculteur;agriculteurs;agricultrice;agricultrices
agricultural;agriculturaux;agriculturale;agriculturales
agrigentin;agrigentins;agrigentine;agrigentines
agrimétrique;agrimétriques;;agrippants
agrippant;agrippants;agrippante;agrippantes
agrippeur;agrippeurs;agrippeuse;agrippeuses
agronomique;agronomiques;;agrostidés
agrostidé;agrostidés;agrostidée;agrostidées
agroupé;agroupés;agroupée;agroupées
agréable;agréables;;agrégables
agrégable;agrégables;;agrégatifs
agrégatif;agrégatifs;agrégative;agrégatives
agrégé;agrégés;agrégée;agrégées
agrémenté;agrémentés;agrémentée;agrémentées
agréé;agréés;agréée;agréées
aguerri;aguerris;aguerrie;aguerries
aguichant;aguichants;aguichante;aguichantes
aguicheur;aguicheurs;aguicheuse;aguicheuses
aguiché;aguichés;aguichée;aguichées
aguimpé;aguimpés;aguimpée;aguimpées
agynaire;agynaires;;agyniques
agynique;agyniques;;agératés
agératé;agératés;agératée;agératées
ahanant;ahanants;ahanante;ahanantes
aheurté;aheurtés;aheurtée;aheurtées
ahogué;ahogués;ahoguée;ahoguées
ahuri;ahuris;ahurie;ahuries
ahurissant;ahurissants;ahurissante;ahurissantes
ahémère;ahémères;;aidables
aidable;aidables;;aidants
aidant;aidants;aidante;aidantes
aigre;aigres;;aigrefins
aigrefin;aigrefins;aigrefine;aigrefines
aigrelet;aigrelets;aigrelette;aigrelettes
aigret;aigrets;aigrette;aigrettes
aigretté;aigrettées;aigretté;aigrettés
aigreté;aigretées;aigreté;aigretés
aigri;aigris;aigrie;aigries
aigu;aigus;aiguë;aiguës
aiguilleux;aiguilleuse;aiguilleuses;
aiguillonnant;aiguillonnants;aiguillonnante;aiguillonnantes
aiguillonneux;aiguillonneuse;aiguillonneuses;
aiguillonné;aiguillonnés;aiguillonnée;aiguillonnées
aiguillé;aiguillés;aiguillée;aiguillées
aiguiseur;aiguiseurs;aiguiseuse;aiguiseuses
aiguisé;aiguisés;aiguisée;aiguisées
aigué;aigués;aiguée;aiguées
ailé;ailés;ailée;ailées
aimable;aimables;;aimants
aimant;aimants;aimante;aimantes
aimantaire;aimantaires;;aimantins
aimantin;aimantins;aimantine;aimantines
aimanté;aimantés;aimantée;aimantées
aimeur;aimeurs;aimeuse;aimeuses
aimé;aimés;aimée;aimées
aise;aises;;aisés
aisé;aisés;aisée;aisées
aixois;aixoise;aixoises;
ajeuni;ajeunis;ajeunie;ajeunies
ajournable;ajournables;;ajournés
ajourné;ajournés;ajournée;ajournées
ajouré;ajourés;ajourée;ajourées
ajustable;ajustables;;ajustés
